state,district,case,cured,active,death
"maharashtra","beed","<div class=""td-dc"">6189</div><div class=""td-ddc""><span class=""skgm-inc""></span>181</div>","<div class=""td-dr"">4114</div><div class=""td-ddr""><span class=""skgm-inc""></span>61</div>","<div class=""td-da"">1903</div>","<div class=""td-dd"">172</div><div class=""td-ddd""><span class=""skgm-inc""></span>8</div>"
"maharashtra","ratnagiri","<div class=""td-dc"">5512</div><div class=""td-ddc""><span class=""skgm-inc""></span>115</div>","<div class=""td-dr"">3150</div><div class=""td-ddr""><span class=""skgm-inc""></span>33</div>","<div class=""td-da"">2188</div>","<div class=""td-dd"">174</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"maharashtra","jalna","<div class=""td-dc"">5503</div><div class=""td-ddc""><span class=""skgm-inc""></span>218</div>","<div class=""td-dr"">3525</div><div class=""td-ddr""><span class=""skgm-inc""></span>123</div>","<div class=""td-da"">1826</div>","<div class=""td-dd"">152</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"maharashtra","akola","<div class=""td-dc"">4792</div><div class=""td-ddc""><span class=""skgm-inc""></span>143</div>","<div class=""td-dr"">3316</div><div class=""td-ddr""><span class=""skgm-inc""></span>57</div>","<div class=""td-da"">1308</div>","<div class=""td-dd"">167</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"maharashtra","buldhana","<div class=""td-dc"">4517</div><div class=""td-ddc""><span class=""skgm-inc""></span>182</div>","<div class=""td-dr"">2998</div><div class=""td-ddr""><span class=""skgm-inc""></span>118</div>","<div class=""td-da"">1428</div>","<div class=""td-dd"">91</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"maharashtra","chandrapur","<div class=""td-dc"">4463</div><div class=""td-ddc""><span class=""skgm-inc""></span>296</div>","<div class=""td-dr"">1895</div><div class=""td-ddr""><span class=""skgm-inc""></span>142</div>","<div class=""td-da"">2517</div>","<div class=""td-dd"">51</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"maharashtra","yavatmal","<div class=""td-dc"">4461</div><div class=""td-ddc""><span class=""skgm-inc""></span>141</div>","<div class=""td-dr"">2882</div><div class=""td-ddr""><span class=""skgm-inc""></span>152</div>","<div class=""td-da"">1479</div>","<div class=""td-dd"">100</div><div class=""td-ddd""><span class=""skgm-inc""></span>6</div>"
"maharashtra","parbhani","<div class=""td-dc"">3670</div><div class=""td-ddc""><span class=""skgm-inc""></span>108</div>","<div class=""td-dr"">2269</div><div class=""td-ddr""><span class=""skgm-inc""></span>10</div>","<div class=""td-da"">1297</div>","<div class=""td-dd"">104</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"maharashtra","nandurbar","<div class=""td-dc"">3547</div><div class=""td-ddc""><span class=""skgm-inc""></span>148</div>","<div class=""td-dr"">2335</div><div class=""td-ddr""><span class=""skgm-inc""></span>68</div>","<div class=""td-da"">1121</div>","<div class=""td-dd"">91</div><div class=""td-ddd""><span class=""skgm-inc""></span>5</div>"
"maharashtra","gondia","<div class=""td-dc"">2600</div><div class=""td-ddc""><span class=""skgm-inc""></span>111</div>","<div class=""td-dr"">1325</div><div class=""td-ddr""><span class=""skgm-inc""></span>69</div>","<div class=""td-da"">1246</div>","<div class=""td-dd"">29</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"maharashtra","washim","<div class=""td-dc"">2365</div><div class=""td-ddc""><span class=""skgm-inc""></span>93</div>","<div class=""td-dr"">1711</div><div class=""td-ddr""><span class=""skgm-inc""></span>2</div>","<div class=""td-da"">611</div>","<div class=""td-dd"">42</div><div class=""td-ddd""><span class=""skgm-inc""></span>5</div>"
"maharashtra","bhandara","<div class=""td-dc"">2197</div><div class=""td-ddc""><span class=""skgm-inc""></span>255</div>","<div class=""td-dr"">963</div><div class=""td-ddr""><span class=""skgm-inc""></span>25</div>","<div class=""td-da"">1204</div>","<div class=""td-dd"">30</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"maharashtra","sindhudurg","<div class=""td-dc"">2081</div><div class=""td-ddc""><span class=""skgm-inc""></span>80</div>","<div class=""td-dr"">884</div><div class=""td-ddr""><span class=""skgm-inc""></span>16</div>","<div class=""td-da"">1171</div>","<div class=""td-dd"">26</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"maharashtra","wardha","<div class=""td-dc"">1943</div><div class=""td-ddc""><span class=""skgm-inc""></span>120</div>","<div class=""td-dr"">921</div><div class=""td-ddr""><span class=""skgm-inc""></span>13</div>","<div class=""td-da"">998</div>","<div class=""td-dd"">23</div><div class=""td-ddd""></div>"
"maharashtra","hingoli","<div class=""td-dc"">1915</div><div class=""td-ddc""><span class=""skgm-inc""></span>32</div>","<div class=""td-dr"">1405</div><div class=""td-ddr""><span class=""skgm-inc""></span>31</div>","<div class=""td-da"">468</div>","<div class=""td-dd"">42</div><div class=""td-ddd""></div>"
"maharashtra","gadchiroli","<div class=""td-dc"">1011</div><div class=""td-ddc""><span class=""skgm-inc""></span>21</div>","<div class=""td-dr"">806</div><div class=""td-ddr""><span class=""skgm-inc""></span>2</div>","<div class=""td-da"">204</div>","<div class=""td-dd"">1</div><div class=""td-ddd""></div>"
"maharashtra","other state","<div class=""td-dc"">954</div><div class=""td-ddc""><span class=""skgm-inc""></span>29</div>","<div class=""td-dr"">428</div><div class=""td-ddr""><span class=""skgm-inc""></span>428</div>","<div class=""td-da"">437</div>","<div class=""td-dd"">89</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"maharashtra","mumbai suburban","<div class=""td-dc"">0</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">0</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"andhra pradesh","east godavari","<div class=""td-dc"">71085</div><div class=""td-ddc""><span class=""skgm-inc""></span>1399</div>","<div class=""td-dr"">57497</div><div class=""td-ddr""><span class=""skgm-inc""></span>1807</div>","<div class=""td-da"">13151</div>","<div class=""td-dd"">437</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"andhra pradesh","kurnool","<div class=""td-dc"">49700</div><div class=""td-ddc""><span class=""skgm-inc""></span>484</div>","<div class=""td-dr"">44530</div><div class=""td-ddr""><span class=""skgm-inc""></span>485</div>","<div class=""td-da"">4764</div>","<div class=""td-dd"">406</div><div class=""td-ddd""><span class=""skgm-inc""></span>5</div>"
"andhra pradesh","anantapur","<div class=""td-dc"">47126</div><div class=""td-ddc""><span class=""skgm-inc""></span>801</div>","<div class=""td-dr"">41344</div><div class=""td-ddr""><span class=""skgm-inc""></span>1103</div>","<div class=""td-da"">5397</div>","<div class=""td-dd"">385</div><div class=""td-ddd""><span class=""skgm-inc""></span>6</div>"
"andhra pradesh","west godavari","<div class=""td-dc"">46109</div><div class=""td-ddc""><span class=""skgm-inc""></span>1134</div>","<div class=""td-dr"">42176</div><div class=""td-ddr""><span class=""skgm-inc""></span>48</div>","<div class=""td-da"">3562</div>","<div class=""td-dd"">371</div><div class=""td-ddd""><span class=""skgm-inc""></span>6</div>"
"andhra pradesh","chittoor","<div class=""td-dc"">45501</div><div class=""td-ddc""><span class=""skgm-inc""></span>887</div>","<div class=""td-dr"">36039</div><div class=""td-ddr""><span class=""skgm-inc""></span>986</div>","<div class=""td-da"">8967</div>","<div class=""td-dd"">495</div><div class=""td-ddd""><span class=""skgm-inc""></span>6</div>"
"andhra pradesh","guntur","<div class=""td-dc"">42309</div><div class=""td-ddc""><span class=""skgm-inc""></span>707</div>","<div class=""td-dr"">33994</div><div class=""td-ddr""><span class=""skgm-inc""></span>526</div>","<div class=""td-da"">7871</div>","<div class=""td-dd"">444</div><div class=""td-ddd""><span class=""skgm-inc""></span>6</div>"
"andhra pradesh","visakhapatnam","<div class=""td-dc"">42032</div><div class=""td-ddc""><span class=""skgm-inc""></span>414</div>","<div class=""td-dr"">35592</div><div class=""td-ddr""><span class=""skgm-inc""></span>469</div>","<div class=""td-da"">6103</div>","<div class=""td-dd"">337</div><div class=""td-ddd""><span class=""skgm-inc""></span>7</div>"
"andhra pradesh","s.p.s.r. nellore","<div class=""td-dc"">40218</div><div class=""td-ddc""><span class=""skgm-inc""></span>949</div>","<div class=""td-dr"">33795</div><div class=""td-ddr""><span class=""skgm-inc""></span>1111</div>","<div class=""td-da"">6063</div>","<div class=""td-dd"">360</div><div class=""td-ddd""><span class=""skgm-inc""></span>7</div>"
"andhra pradesh","y.s.r. kadapa","<div class=""td-dc"">33514</div><div class=""td-ddc""><span class=""skgm-inc""></span>785</div>","<div class=""td-dr"">25298</div><div class=""td-ddr""><span class=""skgm-inc""></span>627</div>","<div class=""td-da"">7943</div>","<div class=""td-dd"">273</div><div class=""td-ddd""><span class=""skgm-inc""></span>9</div>"
"andhra pradesh","prakasam","<div class=""td-dc"">32221</div><div class=""td-ddc""><span class=""skgm-inc""></span>1271</div>","<div class=""td-dr"">17160</div><div class=""td-ddr""><span class=""skgm-inc""></span>1117</div>","<div class=""td-da"">14717</div>","<div class=""td-dd"">344</div><div class=""td-ddd""><span class=""skgm-inc""></span>7</div>"
"andhra pradesh","srikakulam","<div class=""td-dc"">29708</div><div class=""td-ddc""><span class=""skgm-inc""></span>660</div>","<div class=""td-dr"">22650</div><div class=""td-ddr""><span class=""skgm-inc""></span>783</div>","<div class=""td-da"">6783</div>","<div class=""td-dd"">275</div><div class=""td-ddd""><span class=""skgm-inc""></span>5</div>"
"andhra pradesh","vizianagaram","<div class=""td-dc"">25680</div><div class=""td-ddc""><span class=""skgm-inc""></span>577</div>","<div class=""td-dr"">16332</div><div class=""td-ddr""><span class=""skgm-inc""></span>495</div>","<div class=""td-da"">9164</div>","<div class=""td-dd"">184</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"andhra pradesh","krishna","<div class=""td-dc"">19414</div><div class=""td-ddc""><span class=""skgm-inc""></span>350</div>","<div class=""td-dr"">16305</div><div class=""td-ddr""><span class=""skgm-inc""></span>285</div>","<div class=""td-da"">2786</div>","<div class=""td-dd"">323</div><div class=""td-ddd""><span class=""skgm-inc""></span>5</div>"
"andhra pradesh","other state","<div class=""td-dc"">2461</div><div class=""td-ddc""></div>","<div class=""td-dr"">2461</div><div class=""td-ddr""></div>","<div class=""td-da"">0</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"andhra pradesh","foreign evacuees","<div class=""td-dc"">434</div><div class=""td-ddc""></div>","<div class=""td-dr"">434</div><div class=""td-ddr""></div>","<div class=""td-da"">0</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"tamil nadu","chennai","<div class=""td-dc"">144595</div><div class=""td-ddc""><span class=""skgm-inc""></span>993</div>","<div class=""td-dr"">130831</div><div class=""td-ddr""><span class=""skgm-inc""></span>1154</div>","<div class=""td-da"">10854</div>","<div class=""td-dd"">2910</div><div class=""td-ddd""><span class=""skgm-inc""></span>14</div>"
"tamil nadu","chengalpattu","<div class=""td-dc"">29231</div><div class=""td-ddc""><span class=""skgm-inc""></span>237</div>","<div class=""td-dr"">26296</div><div class=""td-ddr""><span class=""skgm-inc""></span>380</div>","<div class=""td-da"">2468</div>","<div class=""td-dd"">467</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"tamil nadu","thiruvallur","<div class=""td-dc"">27122</div><div class=""td-ddc""><span class=""skgm-inc""></span>281</div>","<div class=""td-dr"">24762</div><div class=""td-ddr""><span class=""skgm-inc""></span>170</div>","<div class=""td-da"">1905</div>","<div class=""td-dd"">455</div><div class=""td-ddd""><span class=""skgm-inc""></span>9</div>"
"tamil nadu","coimbatore","<div class=""td-dc"">20393</div><div class=""td-ddc""><span class=""skgm-inc""></span>445</div>","<div class=""td-dr"">16164</div><div class=""td-ddr""><span class=""skgm-inc""></span>580</div>","<div class=""td-da"">3891</div>","<div class=""td-dd"">338</div><div class=""td-ddd""><span class=""skgm-inc""></span>6</div>"
"tamil nadu","kancheepuram","<div class=""td-dc"">18799</div><div class=""td-ddc""><span class=""skgm-inc""></span>171</div>","<div class=""td-dr"">17238</div><div class=""td-ddr""><span class=""skgm-inc""></span>182</div>","<div class=""td-da"">1284</div>","<div class=""td-dd"">277</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"tamil nadu","cuddalore","<div class=""td-dc"">15209</div><div class=""td-ddc""><span class=""skgm-inc""></span>344</div>","<div class=""td-dr"">11344</div><div class=""td-ddr""><span class=""skgm-inc""></span>292</div>","<div class=""td-da"">3707</div>","<div class=""td-dd"">158</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"tamil nadu","madurai","<div class=""td-dc"">15051</div><div class=""td-ddc""><span class=""skgm-inc""></span>63</div>","<div class=""td-dr"">13622</div><div class=""td-ddr""><span class=""skgm-inc""></span>67</div>","<div class=""td-da"">1060</div>","<div class=""td-dd"">369</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","virudhunagar","<div class=""td-dc"">13548</div><div class=""td-ddc""><span class=""skgm-inc""></span>90</div>","<div class=""td-dr"">12790</div><div class=""td-ddr""><span class=""skgm-inc""></span>49</div>","<div class=""td-da"">557</div>","<div class=""td-dd"">201</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","theni","<div class=""td-dc"">13424</div><div class=""td-ddc""><span class=""skgm-inc""></span>86</div>","<div class=""td-dr"">12484</div><div class=""td-ddr""><span class=""skgm-inc""></span>142</div>","<div class=""td-da"">786</div>","<div class=""td-dd"">154</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","salem","<div class=""td-dc"">13284</div><div class=""td-ddc""><span class=""skgm-inc""></span>279</div>","<div class=""td-dr"">11041</div><div class=""td-ddr""><span class=""skgm-inc""></span>588</div>","<div class=""td-da"">2046</div>","<div class=""td-dd"">197</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"tamil nadu","tiruvannamalai","<div class=""td-dc"">12353</div><div class=""td-ddc""><span class=""skgm-inc""></span>142</div>","<div class=""td-dr"">10592</div><div class=""td-ddr""><span class=""skgm-inc""></span>226</div>","<div class=""td-da"">1576</div>","<div class=""td-dd"">185</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"tamil nadu","vellore","<div class=""td-dc"">12089</div><div class=""td-ddc""><span class=""skgm-inc""></span>140</div>","<div class=""td-dr"">10900</div><div class=""td-ddr""><span class=""skgm-inc""></span>237</div>","<div class=""td-da"">1006</div>","<div class=""td-dd"">183</div><div class=""td-ddd""></div>"
"tamil nadu","thoothukkudi","<div class=""td-dc"">11952</div><div class=""td-ddc""><span class=""skgm-inc""></span>58</div>","<div class=""td-dr"">11148</div><div class=""td-ddr""><span class=""skgm-inc""></span>83</div>","<div class=""td-da"">687</div>","<div class=""td-dd"">117</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","ranipet","<div class=""td-dc"">11675</div><div class=""td-ddc""><span class=""skgm-inc""></span>108</div>","<div class=""td-dr"">10761</div><div class=""td-ddr""><span class=""skgm-inc""></span>173</div>","<div class=""td-da"">776</div>","<div class=""td-dd"">138</div><div class=""td-ddd""></div>"
"tamil nadu","tirunelveli","<div class=""td-dc"">10662</div><div class=""td-ddc""><span class=""skgm-inc""></span>139</div>","<div class=""td-dr"">9379</div><div class=""td-ddr""><span class=""skgm-inc""></span>136</div>","<div class=""td-da"">1093</div>","<div class=""td-dd"">190</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"tamil nadu","kanyakumari","<div class=""td-dc"">10540</div><div class=""td-ddc""><span class=""skgm-inc""></span>136</div>","<div class=""td-dr"">9492</div><div class=""td-ddr""><span class=""skgm-inc""></span>125</div>","<div class=""td-da"">847</div>","<div class=""td-dd"">201</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"tamil nadu","viluppuram","<div class=""td-dc"">8799</div><div class=""td-ddc""><span class=""skgm-inc""></span>139</div>","<div class=""td-dr"">7966</div><div class=""td-ddr""><span class=""skgm-inc""></span>197</div>","<div class=""td-da"">750</div>","<div class=""td-dd"">83</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
