state,district,case,cured,active,death 
"uttar pradesh","rampur","<div class=""td-dc"">4065</div><div class=""td-ddc""><span class=""skgm-inc""></span>60</div>","<div class=""td-dr"">3166</div><div class=""td-ddr""><span class=""skgm-inc""></span>75</div>","<div class=""td-da"">867</div>","<div class=""td-dd"">32</div><div class=""td-ddd""></div>"
"uttar pradesh","kushinagar","<div class=""td-dc"">3834</div><div class=""td-ddc""><span class=""skgm-inc""></span>73</div>","<div class=""td-dr"">2978</div><div class=""td-ddr""><span class=""skgm-inc""></span>50</div>","<div class=""td-da"">831</div>","<div class=""td-dd"">25</div><div class=""td-ddd""></div>"
"uttar pradesh","agra","<div class=""td-dc"">3642</div><div class=""td-ddc""><span class=""skgm-inc""></span>100</div>","<div class=""td-dr"">2769</div><div class=""td-ddr""><span class=""skgm-inc""></span>59</div>","<div class=""td-da"">762</div>","<div class=""td-dd"">111</div><div class=""td-ddd""></div>"
"uttar pradesh","azamgarh","<div class=""td-dc"">3577</div><div class=""td-ddc""><span class=""skgm-inc""></span>38</div>","<div class=""td-dr"">3013</div><div class=""td-ddr""><span class=""skgm-inc""></span>125</div>","<div class=""td-da"">507</div>","<div class=""td-dd"">57</div><div class=""td-ddd""></div>"
"uttar pradesh","maharajganj","<div class=""td-dc"">3558</div><div class=""td-ddc""><span class=""skgm-inc""></span>81</div>","<div class=""td-dr"">2785</div><div class=""td-ddr""><span class=""skgm-inc""></span>102</div>","<div class=""td-da"">729</div>","<div class=""td-dd"">44</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","ghazipur","<div class=""td-dc"">3227</div><div class=""td-ddc""><span class=""skgm-inc""></span>43</div>","<div class=""td-dr"">2793</div><div class=""td-ddr""><span class=""skgm-inc""></span>43</div>","<div class=""td-da"">403</div>","<div class=""td-dd"">31</div><div class=""td-ddd""></div>"
"uttar pradesh","hardoi","<div class=""td-dc"">3164</div><div class=""td-ddc""><span class=""skgm-inc""></span>82</div>","<div class=""td-dr"">2455</div><div class=""td-ddr""><span class=""skgm-inc""></span>46</div>","<div class=""td-da"">667</div>","<div class=""td-dd"">42</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","gonda","<div class=""td-dc"">2990</div><div class=""td-ddc""><span class=""skgm-inc""></span>36</div>","<div class=""td-dr"">2460</div><div class=""td-ddr""><span class=""skgm-inc""></span>40</div>","<div class=""td-da"">500</div>","<div class=""td-dd"">30</div><div class=""td-ddd""></div>"
"uttar pradesh","lakhimpur kheri","<div class=""td-dc"">2919</div><div class=""td-ddc""><span class=""skgm-inc""></span>79</div>","<div class=""td-dr"">2238</div><div class=""td-ddr""><span class=""skgm-inc""></span>140</div>","<div class=""td-da"">647</div>","<div class=""td-dd"">34</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"uttar pradesh","muzaffarnagar","<div class=""td-dc"">2895</div><div class=""td-ddc""><span class=""skgm-inc""></span>95</div>","<div class=""td-dr"">1871</div><div class=""td-ddr""><span class=""skgm-inc""></span>79</div>","<div class=""td-da"">987</div>","<div class=""td-dd"">37</div><div class=""td-ddd""></div>"
"uttar pradesh","mathura","<div class=""td-dc"">2849</div><div class=""td-ddc""><span class=""skgm-inc""></span>49</div>","<div class=""td-dr"">2012</div><div class=""td-ddr""><span class=""skgm-inc""></span>36</div>","<div class=""td-da"">784</div>","<div class=""td-dd"">53</div><div class=""td-ddd""></div>"
"uttar pradesh","basti","<div class=""td-dc"">2790</div><div class=""td-ddc""><span class=""skgm-inc""></span>40</div>","<div class=""td-dr"">2286</div><div class=""td-ddr""><span class=""skgm-inc""></span>34</div>","<div class=""td-da"">449</div>","<div class=""td-dd"">55</div><div class=""td-ddd""><span class=""skgm-dec""></span>1</div>"
"uttar pradesh","pilibhit","<div class=""td-dc"">2761</div><div class=""td-ddc""><span class=""skgm-inc""></span>21</div>","<div class=""td-dr"">2211</div><div class=""td-ddr""><span class=""skgm-inc""></span>39</div>","<div class=""td-da"">511</div>","<div class=""td-dd"">39</div><div class=""td-ddd""></div>"
"uttar pradesh","etawah","<div class=""td-dc"">2686</div><div class=""td-ddc""><span class=""skgm-inc""></span>55</div>","<div class=""td-dr"">1983</div><div class=""td-ddr""><span class=""skgm-inc""></span>66</div>","<div class=""td-da"">660</div>","<div class=""td-dd"">43</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"uttar pradesh","bulandshahr","<div class=""td-dc"">2673</div><div class=""td-ddc""><span class=""skgm-inc""></span>33</div>","<div class=""td-dr"">2142</div><div class=""td-ddr""><span class=""skgm-inc""></span>40</div>","<div class=""td-da"">482</div>","<div class=""td-dd"">49</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","sitapur","<div class=""td-dc"">2646</div><div class=""td-ddc""><span class=""skgm-inc""></span>80</div>","<div class=""td-dr"">1969</div><div class=""td-ddr""><span class=""skgm-inc""></span>57</div>","<div class=""td-da"">661</div>","<div class=""td-dd"">16</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","unnao","<div class=""td-dc"">2550</div><div class=""td-ddc""><span class=""skgm-inc""></span>62</div>","<div class=""td-dr"">1920</div><div class=""td-ddr""><span class=""skgm-inc""></span>43</div>","<div class=""td-da"">578</div>","<div class=""td-dd"">52</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","siddharthnagar","<div class=""td-dc"">2516</div><div class=""td-ddc""><span class=""skgm-inc""></span>35</div>","<div class=""td-dr"">2145</div><div class=""td-ddr""><span class=""skgm-inc""></span>34</div>","<div class=""td-da"">344</div>","<div class=""td-dd"">27</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"uttar pradesh","sultanpur","<div class=""td-dc"">2442</div><div class=""td-ddc""><span class=""skgm-inc""></span>22</div>","<div class=""td-dr"">1943</div><div class=""td-ddr""><span class=""skgm-inc""></span>22</div>","<div class=""td-da"">460</div>","<div class=""td-dd"">39</div><div class=""td-ddd""></div>"
"uttar pradesh","bahraich","<div class=""td-dc"">2419</div><div class=""td-ddc""><span class=""skgm-inc""></span>42</div>","<div class=""td-dr"">1984</div><div class=""td-ddr""><span class=""skgm-inc""></span>19</div>","<div class=""td-da"">397</div>","<div class=""td-dd"">38</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"uttar pradesh","pratapgarh","<div class=""td-dc"">2393</div><div class=""td-ddc""><span class=""skgm-inc""></span>69</div>","<div class=""td-dr"">1649</div><div class=""td-ddr""><span class=""skgm-inc""></span>42</div>","<div class=""td-da"">712</div>","<div class=""td-dd"">32</div><div class=""td-ddd""></div>"
"uttar pradesh","chandauli","<div class=""td-dc"">2362</div><div class=""td-ddc""><span class=""skgm-inc""></span>47</div>","<div class=""td-dr"">1887</div><div class=""td-ddr""><span class=""skgm-inc""></span>29</div>","<div class=""td-da"">454</div>","<div class=""td-dd"">21</div><div class=""td-ddd""></div>"
"uttar pradesh","bijnor","<div class=""td-dc"">2179</div><div class=""td-ddc""><span class=""skgm-inc""></span>47</div>","<div class=""td-dr"">1676</div><div class=""td-ddr""><span class=""skgm-inc""></span>69</div>","<div class=""td-da"">478</div>","<div class=""td-dd"">25</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","sant kabir nagar","<div class=""td-dc"">2147</div><div class=""td-ddc""><span class=""skgm-inc""></span>35</div>","<div class=""td-dr"">1907</div><div class=""td-ddr""><span class=""skgm-inc""></span>18</div>","<div class=""td-da"">212</div>","<div class=""td-dd"">28</div><div class=""td-ddd""></div>"
"uttar pradesh","sonbhadra","<div class=""td-dc"">2031</div><div class=""td-ddc""><span class=""skgm-inc""></span>93</div>","<div class=""td-dr"">1437</div><div class=""td-ddr""><span class=""skgm-inc""></span>36</div>","<div class=""td-da"">577</div>","<div class=""td-dd"">17</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","amroha","<div class=""td-dc"">1987</div><div class=""td-ddc""><span class=""skgm-inc""></span>49</div>","<div class=""td-dr"">1545</div><div class=""td-ddr""><span class=""skgm-inc""></span>15</div>","<div class=""td-da"">419</div>","<div class=""td-dd"">23</div><div class=""td-ddd""></div>"
"uttar pradesh","hapur","<div class=""td-dc"">1976</div><div class=""td-ddc""><span class=""skgm-inc""></span>42</div>","<div class=""td-dr"">1678</div><div class=""td-ddr""><span class=""skgm-inc""></span>25</div>","<div class=""td-da"">265</div>","<div class=""td-dd"">33</div><div class=""td-ddd""></div>"
"uttar pradesh","mainpuri","<div class=""td-dc"">1940</div><div class=""td-ddc""><span class=""skgm-inc""></span>64</div>","<div class=""td-dr"">1456</div><div class=""td-ddr""><span class=""skgm-inc""></span>25</div>","<div class=""td-da"">449</div>","<div class=""td-dd"">35</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","budaun","<div class=""td-dc"">1940</div><div class=""td-ddc""><span class=""skgm-inc""></span>47</div>","<div class=""td-dr"">1454</div><div class=""td-ddr""><span class=""skgm-inc""></span>9</div>","<div class=""td-da"">471</div>","<div class=""td-dd"">15</div><div class=""td-ddd""></div>"
"uttar pradesh","firozabad","<div class=""td-dc"">1911</div><div class=""td-ddc""><span class=""skgm-inc""></span>25</div>","<div class=""td-dr"">1451</div><div class=""td-ddr""><span class=""skgm-inc""></span>71</div>","<div class=""td-da"">410</div>","<div class=""td-dd"">50</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","kannauj","<div class=""td-dc"">1908</div><div class=""td-ddc""><span class=""skgm-inc""></span>41</div>","<div class=""td-dr"">1637</div><div class=""td-ddr""><span class=""skgm-inc""></span>42</div>","<div class=""td-da"">258</div>","<div class=""td-dd"">13</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","mau","<div class=""td-dc"">1903</div><div class=""td-ddc""><span class=""skgm-inc""></span>50</div>","<div class=""td-dr"">1411</div><div class=""td-ddr""><span class=""skgm-inc""></span>34</div>","<div class=""td-da"">474</div>","<div class=""td-dd"">18</div><div class=""td-ddd""></div>"
"uttar pradesh","rae bareli","<div class=""td-dc"">1897</div><div class=""td-ddc""><span class=""skgm-inc""></span>61</div>","<div class=""td-dr"">1314</div><div class=""td-ddr""><span class=""skgm-inc""></span>38</div>","<div class=""td-da"">532</div>","<div class=""td-dd"">51</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","mirzapur","<div class=""td-dc"">1877</div><div class=""td-ddc""><span class=""skgm-inc""></span>57</div>","<div class=""td-dr"">1566</div><div class=""td-ddr""><span class=""skgm-inc""></span>36</div>","<div class=""td-da"">285</div>","<div class=""td-dd"">26</div><div class=""td-ddd""></div>"
"uttar pradesh","sambhal","<div class=""td-dc"">1777</div><div class=""td-ddc""><span class=""skgm-inc""></span>37</div>","<div class=""td-dr"">1524</div><div class=""td-ddr""><span class=""skgm-inc""></span>12</div>","<div class=""td-da"">221</div>","<div class=""td-dd"">32</div><div class=""td-ddd""></div>"
"uttar pradesh","lalitpur","<div class=""td-dc"">1772</div><div class=""td-ddc""><span class=""skgm-inc""></span>59</div>","<div class=""td-dr"">1153</div><div class=""td-ddr""><span class=""skgm-inc""></span>58</div>","<div class=""td-da"">595</div>","<div class=""td-dd"">24</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","amethi","<div class=""td-dc"">1718</div><div class=""td-ddc""><span class=""skgm-inc""></span>63</div>","<div class=""td-dr"">1189</div><div class=""td-ddr""><span class=""skgm-inc""></span>42</div>","<div class=""td-da"">517</div>","<div class=""td-dd"">12</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","fatehpur","<div class=""td-dc"">1617</div><div class=""td-ddc""><span class=""skgm-inc""></span>70</div>","<div class=""td-dr"">1180</div><div class=""td-ddr""><span class=""skgm-inc""></span>34</div>","<div class=""td-da"">412</div>","<div class=""td-dd"">25</div><div class=""td-ddd""></div>"
"uttar pradesh","jalaun","<div class=""td-dc"">1596</div><div class=""td-ddc""><span class=""skgm-inc""></span>22</div>","<div class=""td-dr"">1286</div><div class=""td-ddr""><span class=""skgm-inc""></span>34</div>","<div class=""td-da"">295</div>","<div class=""td-dd"">15</div><div class=""td-ddd""></div>"
"uttar pradesh","farrukhabad","<div class=""td-dc"">1596</div><div class=""td-ddc""><span class=""skgm-inc""></span>44</div>","<div class=""td-dr"">1172</div><div class=""td-ddr""><span class=""skgm-inc""></span>43</div>","<div class=""td-da"">397</div>","<div class=""td-dd"">27</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"uttar pradesh","auraiya","<div class=""td-dc"">1584</div><div class=""td-ddc""><span class=""skgm-inc""></span>40</div>","<div class=""td-dr"">1165</div><div class=""td-ddr""><span class=""skgm-inc""></span>34</div>","<div class=""td-da"">407</div>","<div class=""td-dd"">12</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","shamli","<div class=""td-dc"">1475</div><div class=""td-ddc""><span class=""skgm-inc""></span>61</div>","<div class=""td-dr"">963</div><div class=""td-ddr""><span class=""skgm-inc""></span>21</div>","<div class=""td-da"">501</div>","<div class=""td-dd"">11</div><div class=""td-ddd""></div>"
"uttar pradesh","kanpur dehat","<div class=""td-dc"">1418</div><div class=""td-ddc""><span class=""skgm-inc""></span>36</div>","<div class=""td-dr"">895</div><div class=""td-ddr""><span class=""skgm-inc""></span>16</div>","<div class=""td-da"">510</div>","<div class=""td-dd"">13</div><div class=""td-ddd""></div>"
"uttar pradesh","banda","<div class=""td-dc"">1275</div><div class=""td-ddc""><span class=""skgm-inc""></span>40</div>","<div class=""td-dr"">794</div><div class=""td-ddr""><span class=""skgm-inc""></span>81</div>","<div class=""td-da"">468</div>","<div class=""td-dd"">13</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"uttar pradesh","bhadohi","<div class=""td-dc"">1259</div><div class=""td-ddc""><span class=""skgm-inc""></span>30</div>","<div class=""td-dr"">1032</div><div class=""td-ddr""><span class=""skgm-inc""></span>26</div>","<div class=""td-da"">216</div>","<div class=""td-dd"">11</div><div class=""td-ddd""></div>"
"uttar pradesh","etah","<div class=""td-dc"">1211</div><div class=""td-ddc""><span class=""skgm-inc""></span>62</div>","<div class=""td-dr"">860</div><div class=""td-ddr""><span class=""skgm-inc""></span>23</div>","<div class=""td-da"">340</div>","<div class=""td-dd"">11</div><div class=""td-ddd""></div>"
"uttar pradesh","balrampur","<div class=""td-dc"">1179</div><div class=""td-ddc""><span class=""skgm-inc""></span>25</div>","<div class=""td-dr"">924</div><div class=""td-ddr""><span class=""skgm-inc""></span>14</div>","<div class=""td-da"">235</div>","<div class=""td-dd"">20</div><div class=""td-ddd""></div>"
"uttar pradesh","kaushambi","<div class=""td-dc"">1134</div><div class=""td-ddc""><span class=""skgm-inc""></span>20</div>","<div class=""td-dr"">908</div><div class=""td-ddr""><span class=""skgm-inc""></span>37</div>","<div class=""td-da"">212</div>","<div class=""td-dd"">14</div><div class=""td-ddd""></div>"
"uttar pradesh","kasganj","<div class=""td-dc"">1079</div><div class=""td-ddc""><span class=""skgm-inc""></span>28</div>","<div class=""td-dr"">748</div><div class=""td-ddr""><span class=""skgm-inc""></span>9</div>","<div class=""td-da"">329</div>","<div class=""td-dd"">2</div><div class=""td-ddd""></div>"
"uttar pradesh","ambedkar nagar","<div class=""td-dc"">1060</div><div class=""td-ddc""><span class=""skgm-inc""></span>42</div>","<div class=""td-dr"">785</div><div class=""td-ddr""><span class=""skgm-inc""></span>37</div>","<div class=""td-da"">253</div>","<div class=""td-dd"">22</div><div class=""td-ddd""></div>"
"uttar pradesh","baghpat","<div class=""td-dc"">994</div><div class=""td-ddc""><span class=""skgm-inc""></span>16</div>","<div class=""td-dr"">856</div><div class=""td-ddr""><span class=""skgm-inc""></span>7</div>","<div class=""td-da"">120</div>","<div class=""td-dd"">18</div><div class=""td-ddd""></div>"
"uttar pradesh","chitrakoot","<div class=""td-dc"">864</div><div class=""td-ddc""><span class=""skgm-inc""></span>25</div>","<div class=""td-dr"">612</div><div class=""td-ddr""><span class=""skgm-inc""></span>5</div>","<div class=""td-da"">248</div>","<div class=""td-dd"">4</div><div class=""td-ddd""></div>"
"uttar pradesh","shrawasti","<div class=""td-dc"">796</div><div class=""td-ddc""><span class=""skgm-inc""></span>12</div>","<div class=""td-dr"">652</div><div class=""td-ddr""><span class=""skgm-inc""></span>19</div>","<div class=""td-da"">133</div>","<div class=""td-dd"">11</div><div class=""td-ddd""></div>"
"uttar pradesh","hamirpur","<div class=""td-dc"">771</div><div class=""td-ddc""><span class=""skgm-inc""></span>31</div>","<div class=""td-dr"">586</div><div class=""td-ddr""><span class=""skgm-inc""></span>6</div>","<div class=""td-da"">170</div>","<div class=""td-dd"">15</div><div class=""td-ddd""></div>"
"uttar pradesh","hathras","<div class=""td-dc"">738</div><div class=""td-ddc""><span class=""skgm-inc""></span>7</div>","<div class=""td-dr"">628</div><div class=""td-ddr""><span class=""skgm-inc""></span>27</div>","<div class=""td-da"">103</div>","<div class=""td-dd"">7</div><div class=""td-ddd""></div>"
"uttar pradesh","mahoba","<div class=""td-dc"">594</div><div class=""td-ddc""><span class=""skgm-inc""></span>4</div>","<div class=""td-dr"">464</div><div class=""td-ddr""><span class=""skgm-inc""></span>9</div>","<div class=""td-da"">125</div>","<div class=""td-dd"">5</div><div class=""td-ddd""></div>"
"delhi","unknown","<div class=""td-dc"">200386</div><div class=""td-ddc""></div>","<div class=""td-dr"">172763</div><div class=""td-ddr""></div>","<div class=""td-da"">22986</div>","<div class=""td-dd"">4637</div><div class=""td-ddd""></div>"
"delhi","central delhi","<div class=""td-dc"">184</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">184</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","south east delhi","<div class=""td-dc"">130</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">130</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","west delhi","<div class=""td-dc"">122</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">122</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","south delhi","<div class=""td-dc"">70</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">70</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","north delhi","<div class=""td-dc"">60</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">60</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","shahdara","<div class=""td-dc"">48</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">48</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","south west delhi","<div class=""td-dc"">42</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">42</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","east delhi","<div class=""td-dc"">38</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">38</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","new delhi","<div class=""td-dc"">37</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">37</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"delhi","north west delhi","<div class=""td-dc"">32</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">31</div>","<div class=""td-dd"">1</div><div class=""td-ddd""></div>"
"delhi","north east delhi","<div class=""td-dc"">25</div><div class=""td-ddc""></div>","<div class=""td-dr"">0</div><div class=""td-ddr""></div>","<div class=""td-da"">25</div>","<div class=""td-dd"">0</div><div class=""td-ddd""></div>"
"west bengal","kolkata","<div class=""td-dc"">44476</div><div class=""td-ddc""><span class=""skgm-inc""></span>554</div>","<div class=""td-dr"">38965</div><div class=""td-ddr""><span class=""skgm-inc""></span>521</div>","<div class=""td-da"">4083</div>","<div class=""td-dd"">1428</div><div class=""td-ddd""><span class=""skgm-inc""></span>17</div>"
"west bengal","north 24 parganas","<div class=""td-dc"">39438</div><div class=""td-ddc""><span class=""skgm-inc""></span>570</div>","<div class=""td-dr"">33748</div><div class=""td-ddr""><span class=""skgm-inc""></span>615</div>","<div class=""td-da"">4848</div>","<div class=""td-dd"">842</div><div class=""td-ddd""><span class=""skgm-inc""></span>10</div>"
"west bengal","howrah","<div class=""td-dc"">14567</div><div class=""td-ddc""><span class=""skgm-inc""></span>145</div>","<div class=""td-dr"">13147</div><div class=""td-ddr""><span class=""skgm-inc""></span>160</div>","<div class=""td-da"">992</div>","<div class=""td-dd"">428</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"west bengal","south 24 parganas","<div class=""td-dc"">12904</div><div class=""td-ddc""><span class=""skgm-inc""></span>152</div>","<div class=""td-dr"">11365</div><div class=""td-ddr""><span class=""skgm-inc""></span>172</div>","<div class=""td-da"">1299</div>","<div class=""td-dd"">240</div><div class=""td-ddd""></div>"
"west bengal","hooghly","<div class=""td-dc"">9293</div><div class=""td-ddc""><span class=""skgm-inc""></span>156</div>","<div class=""td-dr"">7762</div><div class=""td-ddr""><span class=""skgm-inc""></span>238</div>","<div class=""td-da"">1373</div>","<div class=""td-dd"">158</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"west bengal","purba medinipur","<div class=""td-dc"">7886</div><div class=""td-ddc""><span class=""skgm-inc""></span>164</div>","<div class=""td-dr"">6379</div><div class=""td-ddr""><span class=""skgm-inc""></span>136</div>","<div class=""td-da"">1424</div>","<div class=""td-dd"">83</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"west bengal","paschim medinipur","<div class=""td-dc"">6169</div><div class=""td-ddc""><span class=""skgm-inc""></span>126</div>","<div class=""td-dr"">4853</div><div class=""td-ddr""><span class=""skgm-inc""></span>111</div>","<div class=""td-da"">1250</div>","<div class=""td-dd"">66</div><div class=""td-ddd""><span class=""skgm-inc""></span>3</div>"
"west bengal","darjeeling","<div class=""td-dc"">5828</div><div class=""td-ddc""><span class=""skgm-inc""></span>57</div>","<div class=""td-dr"">5068</div><div class=""td-ddr""><span class=""skgm-inc""></span>81</div>","<div class=""td-da"">676</div>","<div class=""td-dd"">84</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"west bengal","malda","<div class=""td-dc"">5305</div><div class=""td-ddc""><span class=""skgm-inc""></span>60</div>","<div class=""td-dr"">4976</div><div class=""td-ddr""><span class=""skgm-inc""></span>31</div>","<div class=""td-da"">285</div>","<div class=""td-dd"">44</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"west bengal","nadia","<div class=""td-dc"">4900</div><div class=""td-ddc""><span class=""skgm-inc""></span>126</div>","<div class=""td-dr"">3981</div><div class=""td-ddr""><span class=""skgm-inc""></span>100</div>","<div class=""td-da"">864</div>","<div class=""td-dd"">55</div><div class=""td-ddd""><span class=""skgm-inc""></span>4</div>"
"west bengal","paschim bardhaman","<div class=""td-dc"">4823</div><div class=""td-ddc""><span class=""skgm-inc""></span>155</div>","<div class=""td-dr"">3820</div><div class=""td-ddr""><span class=""skgm-inc""></span>101</div>","<div class=""td-da"">962</div>","<div class=""td-dd"">41</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"west bengal","jalpaiguri","<div class=""td-dc"">4382</div><div class=""td-ddc""><span class=""skgm-inc""></span>83</div>","<div class=""td-dr"">3739</div><div class=""td-ddr""><span class=""skgm-inc""></span>66</div>","<div class=""td-da"">606</div>","<div class=""td-dd"">37</div><div class=""td-ddd""></div>"
"west bengal","dakshin dinajpur","<div class=""td-dc"">4265</div><div class=""td-ddc""><span class=""skgm-inc""></span>94</div>","<div class=""td-dr"">3823</div><div class=""td-ddr""><span class=""skgm-inc""></span>41</div>","<div class=""td-da"">415</div>","<div class=""td-dd"">27</div><div class=""td-ddd""></div>"
"west bengal","murshidabad","<div class=""td-dc"">4006</div><div class=""td-ddc""><span class=""skgm-inc""></span>85</div>","<div class=""td-dr"">3439</div><div class=""td-ddr""><span class=""skgm-inc""></span>49</div>","<div class=""td-da"">517</div>","<div class=""td-dd"">50</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"west bengal","cooch behar","<div class=""td-dc"">3954</div><div class=""td-ddc""><span class=""skgm-inc""></span>91</div>","<div class=""td-dr"">3284</div><div class=""td-ddr""><span class=""skgm-inc""></span>182</div>","<div class=""td-da"">654</div>","<div class=""td-dd"">16</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"west bengal","bankura","<div class=""td-dc"">3481</div><div class=""td-ddc""><span class=""skgm-inc""></span>71</div>","<div class=""td-dr"">2739</div><div class=""td-ddr""><span class=""skgm-inc""></span>64</div>","<div class=""td-da"">716</div>","<div class=""td-dd"">26</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"west bengal","purba bardhaman","<div class=""td-dc"">3396</div><div class=""td-ddc""><span class=""skgm-inc""></span>101</div>","<div class=""td-dr"">2777</div><div class=""td-ddr""><span class=""skgm-inc""></span>18</div>","<div class=""td-da"">595</div>","<div class=""td-dd"">24</div><div class=""td-ddd""><span class=""skgm-inc""></span>1</div>"
"west bengal","alipurduar","<div class=""td-dc"">3010</div><div class=""td-ddc""><span class=""skgm-inc""></span>78</div>","<div class=""td-dr"">2347</div><div class=""td-ddr""><span class=""skgm-inc""></span>147</div>","<div class=""td-da"">637</div>","<div class=""td-dd"">26</div><div class=""td-ddd""><span class=""skgm-inc""></span>2</div>"
"west bengal","uttar dinajpur","<div class=""td-dc"">2643</div><div class=""td-ddc""><span class=""skgm-inc""></span>68</div>","<div class=""td-dr"">2321</div><div class=""td-ddr""><span class=""skgm-inc""></span>34</div>","<div class=""td-da"">299</div>","<div class=""td-dd"">23</div><div class=""td-ddd""></div>"
"west bengal","birbhum","<div class=""td-dc"">2527</div><div class=""td-ddc""><span class=""skgm-inc""></span>45</div>","<div class=""td-dr"">2148</div><div class=""td-ddr""><span class=""skgm-inc""></span>35</div>","<div class=""td-da"">361</div>","<div class=""td-dd"">18</div><div class=""td-ddd""></div>"
"west bengal","purulia","<div class=""td-dc"">1849</div><div class=""td-ddc""><span class=""skgm-inc""></span>92</div>","<div class=""td-dr"">1476</div><div class=""td-ddr""><span class=""skgm-inc""></span>41</div>","<div class=""td-da"">367</div>","<div class=""td-dd"">6</div><div class=""td-ddd""></div>"
"west bengal","kalimpong","<div class=""td-dc"">570</div><div class=""td-ddc""><span class=""skgm-inc""></span>19</div>","<div class=""td-dr"">494</div><div class=""td-ddr""><span class=""skgm-inc""></span>10</div>","<div class=""td-da"">73</div>","<div class=""td-dd"">3</div><div class=""td-ddd""></div>"
"west bengal","jhargram","<div class=""td-dc"">325</div><div class=""td-ddc""><span class=""skgm-inc""></span>15</div>","<div class=""td-dr"">278</div><div class=""td-ddr""><span class=""skgm-inc""></span>14</div>","<div class=""td-da"">45</div>","<div class=""td-dd"">2</div><div class=""td-ddd""></div>"
"west bengal","other state","<div class=""td-dc"">66</div><div class=""td-ddc""></div>","<div class=""td-dr"">63</div><div class=""td-ddr""></div>","<div class=""td-da"">0</div>","<div class=""td-dd"">3</div><div class=""td-ddd""></div>"
